	管線材質	ORDER_SEQ	品名	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	中文說明	用料時機	採購量	可領用量	合計	合計2	項目	設計需求	採購需求	缺料狀況	7月2日	7月9日	7月10日	7月11日	8月15日	8月22日	8月24日	重組
73	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P211677_D
74	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P211677_E
75	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	鋼管	預製	174.0		80.2	80.2	-	0.0	0	0	0	0	0	0	0	0	0	P98370_-
76	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P98370_A
77	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	鋼管	預製					B	80.2	90	-90	0	0	0	0	0	0	0	P98370_B
78	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P98370_D
79	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P98370_E
80	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	鋼管	預製	54.0		17.3	17.3	-	0.0	0	0	0	0	0	0	0	0	0	P75659_-
81	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P75659_A
82	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	鋼管	預製					B	17.3	24	-12	12	0	0	0	0	0	0	P75659_B
83	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P75659_D
84	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P75659_E
85	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	鋼管	預製	6.0		0.1	0.1	-	0.0	0	0	0	0	0	0	0	0	0	P64172_-
86	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P64172_A
87	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	鋼管	預製					B	0.0	0	0	0	0	0	0	0	0	0	P64172_B
88	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	鋼管	預製					D	0.1	6	-6	0	0	0	0	0	0	0	P64172_D
89	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P64172_E
90	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	鋼管	預製	252.0		229.2	228.6	-	0.0	0	0	0	0	0	0	0	0	0	P64128_-
91	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P64128_A
92	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	鋼管	預製					B	0.0	0	0	0	0	0	0	0	0	0	P64128_B
93	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	鋼管	預製					D	228.6	252	-252	0	0	0	0	0	0	0	P64128_D
94	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P64128_E
95	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	鋼管	預製	6.0		0.3	0.3	-	0.0	0	0	0	0	0	0	0	0	0	P64100_-
96	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P64100_A
97	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	鋼管	預製					B	0.0	0	0	0	0	0	0	0	0	0	P64100_B
98	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	鋼管	預製					D	0.3	6	-6	0	0	0	0	0	0	0	P64100_D
99	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P64100_E
100	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	鋼管	預製	180.0		7.9	7.9	-	0.0	0	0	0	0	0	0	0	0	0	P72847_-
101	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P72847_A
102	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	鋼管	預製					B	7.9	12	-12	0	0	0	0	0	0	0	P72847_B
103	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	鋼管	預製					D	0.0	0	0	0	0	0	0	0	0	0	P72847_D
104	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	鋼管	預製					E	0.0	0	0	0	0	0	0	0	0	0	P72847_E
105	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	鋼管	預製	294.0		0.4	0.4	-	0.0	0	0	0	0	0	0	0	0	0	P64075_-
106	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	鋼管	預製					A	0.0	0	0	0	0	0	0	0	0	0	P64075_A
