管線材質,ORDER_SEQ,0,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日
,,,,,,,,,,,,,,,,B,0.2,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME  NACE,0.75, ,S-80, ,"3/4"" S-80",3.91,M,P76177,預製,6,,0.2,0.2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0.2,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME  NACE,0.5, ,S-80, ,"1/2"" S-80",3.73,M,P76153,預製,6,,0.8,0.8,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0.8,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,121,"PIPE NIPPLE SMLS PE/ TE CS A106-B L=100MM(4"") ASME   ",0.75, ,S-80, ,"3/4"" S-80",3.91,PC,P48804,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,121,"PIPE NIPPLE SMLS PE/ TE CS A106-B L=75MM (3"") ASME   ",1.5, ,S-80, ,"1-1/2"" S-80",5.08,PC,P38041,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,121,"PIPE NIPPLE SMLS PE/ TE CS A106-B L=75MM (3"") ASME   ",0.75, ,S-80, ,"3/4"" S-80",3.91,PC,P08425,預製,95,,37,36,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,13,13,1,14,0,0,0,0
,,,,,,,,,,,,,,,,B,3,3,0,3,0,0,0,0
,,,,,,,,,,,,,,,,D,20,20,0,20,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,121,"PIPE NIPPLE SMLS TBE CS A106-B L=75MM (3"") ASME  NACE",0.75, ,S-80, ,"3/4"" S-80",3.91,PC,P55325,預製,6,,5,5,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,5,5,0,5,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW CL3000 SW CS A105  ASME   ,1.5, , , ,"1-1/2""",,PC,N00369,預製,17,,7,7,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,7,7,0,7,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW CL3000 SW CS A105  ASME   ,1, , , ,"1""",,PC,N00368,預製,48,,22,22,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,13,13,0,13,0,0,0,0
,,,,,,,,,,,,,,,,B,6,6,0,6,0,0,0,0
,,,,,,,,,,,,,,,,D,3,3,0,3,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW CL3000 SW CS A105  ASME   ,0.75, , , ,"3/4""",,PC,N00367,預製,4,,3,3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,2,2,-1,1,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW CL3000 SW CS A105  ASME   ,0.5, , , ,"1/2""",,PC,N00366,預製,20,,3,3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,3,3,0,3,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW CL3000 SW CS A105  ASME  NACE,1.5, , , ,"1-1/2""",,PC,N195579,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME   ,8, ,S-80, ,"8"" S-80",12.7,PC,N03198,預製,6,,4,4,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,4,4,-3,0,0,0,0,1
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME   ,6, ,S-40, ,"6"" S-40",7.11,PC,N03235,預製,12,,4,4,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,2,0,0
,,,,,,,,,,,,,,,,B,2,2,0,0,0,1,0,0
,,,,,,,,,,,,,,,,D,2,2,0,0,0,0,0,1
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME   ,4, ,S-40, ,"4"" S-40",6.02,PC,N03237,預製,8,,5,5,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,B,3,3,-3,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME   ,3, ,S-40, ,"3"" S-40",5.49,PC,N03238,預製,11,,4,4,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,4,0,0
,,,,,,,,,,,,,,,,D,4,4,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME   ,2, ,S-80, ,"2"" S-80",5.54,PC,N03204N03234,預製,17,,7,7,-,17,17,-15,2,0,0,0,0
,,,,,,,,,,,,,,,,A,5,5,0,5,0,0,0,0
,,,,,,,,,,,,,,,,B,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,D,,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,,0,0,0,0,0,0,0
碳鋼,301,45 ELBOW SMLS BW CS A234-WPB  ASME  NACE,6, ,S-160, ,"6"" S-160",18.26,PC,N48090,預製,2,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
