管線材質,ORDER_SEQ,Short_desc,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,中文說明,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日,8月22日,8月24日,重組
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P64100_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,鋼管,預製,180,,7.9,7.9,-,0,0,0,0,0,0,0,0,0,0,P72847_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P72847_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,鋼管,預製,,,,,B,7.9,12,-12,0,0,0,0,0,0,0,P72847_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P72847_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P72847_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,鋼管,預製,294,,0.4,0.4,-,0,0,0,0,0,0,0,0,0,0,P64075_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P64075_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,鋼管,預製,,,,,B,0.4,6,-6,0,0,0,0,0,0,0,P64075_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P64075_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P64075_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,鋼管,預製,48,,41.9,41.9,-,0,0,0,0,0,0,0,0,0,30,P44818_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P44818_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,鋼管,預製,,,,,B,39,48,-18,0,0,0,0,0,0,0,P44818_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,鋼管,預製,,,,,D,2.9,6,-6,0,0,0,0,0,0,0,P44818_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P44818_E
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,鋼管,預製,624,,304.8,304.8,-,0,0,0,0,0,0,0,0,0,0,P24908_-
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,鋼管,預製,,,,,A,301.6,330,0,330,0,0,0,0,0,0,P24908_A
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,鋼管,預製,,,,,B,0.3,0,0,0,0,0,0,0,0,0,P24908_B
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,鋼管,預製,,,,,D,2.9,6,0,6,0,0,0,0,0,0,P24908_D
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P24908_E
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,鋼管,預製,6,,4.6,4.6,-,0,0,0,0,0,0,0,0,0,0,P24900_-
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P24900_A
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,鋼管,預製,,,,,B,4.6,6,-6,0,0,0,0,0,0,0,P24900_B
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P24900_D
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P24900_E
